Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4393622525,https://www.linkedin.com/jobs/view/4393622525,Previous resume,2026-03-29 12:18:03.609173,2026-04-04 12:18:08.458611,Problem in Easy Applying,Easy Apply modal did not open,Easy Applied,Not Available
4393035642,https://www.linkedin.com/jobs/view/4393035642,Pending,2026-04-02 12:19:09.569025,2026-04-04 12:19:09.616026,Found a Bad Word in About Job,"
About the job
Location: Melton (Hybrid)

Salary: Up to £50,000

Working hours:09:00 – 17:30

The purpose of this role is to solve complex business problems and technical challenges through the design and development of software applications and services. This role will contribute directly towards exciting technology opportunities in the public health sector; specifically in general practice.

You will be responsible for building and maintaining critical components of our software infrastructure, ensuring high performance, reliability, and security. This role sits within the platform team.

Responsibilities

Design and Development

Contribute towards the design, develop, and implement high-performance, scalable, and maintainable applications and services
Develop APIs and other web services
Work with databases (relational and NoSQL) to implement data models
Contribute towards all phases of the software development lifecycle, from design and development through to testing, deployment and monitoring & alerting

Technical Leadership

Assist and unblock other members of the team where appropriate
Conduct code reviews and provide constructive feedback
Contribute towards the development of software engineering best practices and principles
Participate in architectural and design discussions
Stay abreast of the latest technologies and industry trends

Problem-Solving

Assist with the diagnosis and assessment of complex technical issues
Identify and contribute towards solutions designed to improve service or component security, performance, scalability, and reliability

Collaboration

Work closely with frontend engineers, product managers, and other stakeholders
Share ideas and prompt continuous improvement across the team

Quality Assurance & Compliance

Write unit tests and integration tests to ensure code quality
Participate in code reviews and ensure adherence to coding standards
Comply with the company's Health & Safety, Data Protection, Information Security, PCI & DSP policies and procedures.

Essential

Skills Required

Knowledge of the product development lifecycle
Considerable working experience with modern PHP including frameworks (e.g. Laravel)
Source control (e.g. GitLab)
Working experience with structured and unstructured databases (e.g. MySQL)
Knowledge of or working experience with Message Queues (RabbitMQ) & event driven architecture
Strong knowledge of software design patterns and object-oriented design principles
Working experience of unit test frameworks and test automation

Desired

Strong expertise in Agile methodologies (e.g. Scrum / Kanban)
DevOps tooling
Node.js
Healthcare industry experience (NHS)
VOIP call handling

Benefits

25 Days Holiday plus an additional day for your birthday/equivalent
Cycle to Work Scheme
Winter Flu Jabs
Free On-Site Parking
Learning and development budget with Professional Qualification Support
£1,000 employee referral bonus
Social benefits (paid social events)
Buy Holiday Scheme
Employee Assistance Program
Discount on Health Insurance
Annual Salary Review
Enhanced Company Sick Pay
Monthly pizza in the office (Hybrid employees) / coffee voucher (Remote employees)
SCG mobile benefit

SCG is proud to be an equal opportunities employer.

 We welcome applications from all parts of the community and are committed to upholding the principles of the Equality Act 2010.

We are committed to supporting applicants with disabilities. We will endeavour to make necessary adjustments to ensure a fair and accessible recruitment process

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4394393533,https://www.linkedin.com/jobs/view/4394393533,Pending,2026-04-02 12:19:13.609725,2026-04-04 12:19:13.647726,Found a Bad Word in About Job,"
About the job
Salary $77,000 - $90,000 plus Super 
Full Time Employment

About Quantaco

Hospitality moves fast the tools should keep up too. At Quantaco, we’re building technology that empowers hospitality businesses to work smarter, not harder. No more disconnected systems that slow you down and create extra work.

Australia’s only locally owned and operated Hospitality Management System, designed to simplify processes, save time, and deliver actionable insights for venues of any size.

Our suite of software and service solutions is optimised to work best together but designed to function independently, delivering the actionable insights and financial reporting pubs, clubs, and restaurants need to thrive.

We empower businesses through expert accounting services, real-time reporting, and connected hospitality operations tools. These tools simplify work, save time, and help venues make decisions that drive growth whether it’s one venue or one hundred.

About The Role

The primary purpose of the Software Developer is to manage the design, installation, testing and maintenance of software systems for our Cooking the Books (CTB) design suite.

This role will be responsible for excellent technical support and the development of software improvements for existing CTB programs or providing entirely new programs for release to the market.

What You’ll Do

Maintain and improve the performance of CTB’s existing software and maintain its’ websites, in-house hardware and network systems

Test, maintain and recommend software improvements to ensure strong functionality and optimisation

Review current systems and identify ideas to improve system performance and impact availability, including cost proposals

Facilitate root cause analysis of system issues and faults;

Resolve complex technical design issues;

Test new products or software improvement releases in a controlled environment before going live;

Proactively seek to continuously understand the design characteristics offered by key competitors; developing design concepts that surpass competitors;

Work closely with analysts, designers and staff to ensure programs operate effectively;

Assist with the preparation of training manuals for users;

Analyse user requirements and convert requirements to design documents;

Provide comprehensive support to internal customers, including achieving resolution to outstanding problems or issues;

Develop and implement new software;

Assist the Marketing department with preparation of digital design collateral in line with CTB’s brand guidelines;

Automate repetitive technical tasks

About You

You are organised and a fast learner

You have a mature, design-led approach to software development

Integrity, honesty, trust, and respect

Self-motivated, but you love working in a team

Innovative and always looking for ways to improve

You’re an effective communicator, patient, and able to explain your point of view

Have a degree in Computer Science or equivalent

Have 2+ years’ experience in C# and.Net Framework;

Possess strong technical knowledge of web technologies (Javascript, CSS, HTML, etc.);

Are proficient in C#, ASP.NET MVC and Web API

Have knowledge of ASP.NET Core, ADO.net and ORMs (EntityFramework, Dapper.net, NHibernate)

Have knowledge of Databases: SQL Server, PostgreSQL (Store Procedures, and NoSql: Redis and MongoGB)

Are proficient in JavaScript frameworks: AngularJs, VueJs, and ExtJs

Possess knowledge of Microsoft Azure cloud platform (App Service, Service Bus, Service Fabric)

Have experience with Source Code Control: SVN and GIT

Have a demonstrated understanding of projects from the perspective of both client and busines

Possess proficient verbal and written communication skills;

Have effective time management skills and the ability to meet deadlines

Have the ability to solve problems by being collaborative, creative and analytical

Why Join Us?

At Quantaco, we’re passionate about building technology that solves real-world problems in hospitality. Our team is collaborative, curious, and committed to making an impact and we want you to grow with us.

Reward: Competitive salary + up to 20% discretionary performance bonus
Wellbeing: Hybrid working, birthday leave, and wellness discounts through our benefits portal
Culture: Fortnightly collaboration days, social calendar, team events, peer recognition, and a strong commitment to inclusion
Growth: Study assistance, a structured development framework, and our Women at Quantaco initiative to support diverse career progression

Ready to build the future of hospitality tech?

Apply now or reach out for a confidential chat. We’d love to meet you.

Quantaco Pty Ltd, Level 4 / 6 O'Connell Street Sydney NSW 2000

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4392472448,https://www.linkedin.com/jobs/view/4392472448,Pending,2026-04-01 12:19:40.494013,2026-04-04 12:19:40.567012,Required experience is high,"
About the job
About Zero to Claw
Zero to Claw is a white-glove OpenClaw setup and automation service. We deploy security-hardened, production-ready OpenClaw AI agents for businesses. Our clients range from solo operators who want a tireless digital assistant to small teams who need agents handling email triage, meeting prep, CRM workflows, and cross-app automation.
Our founders bring deep experience: Jake has led $100M+ in business transformation, and Daniel is a former Atlassian Engineer with 6+ years shipping Jira, Bitbucket, and Confluence to millions of users.

The Role
We need someone to help us deliver custom OpenClaw workflows for our clients and maintain their running instances. You'll be the person who takes a client's messy ""I want my AI to do X when Y happens"" request, figures out how to wire it up in OpenClaw, builds it, tests it, and makes sure it keeps running. You'll also handle troubleshooting when things break — a misconfigured MCP server, a flaky WhatsApp integration, a gateway auth issue, an agent that's burning through API credits. You'll be deploying, configuring, integrating, and debugging real systems for real clients on real deadlines.

What you'll do
Connect OpenClaw to client tools — Gmail, Notion, Slack, Jira, Salesforce, databases, and hundreds more
Build custom workflows and skills when off-the-shelf integrations don't cut it
Troubleshoot live client instances — broken integrations, runaway API costs, flaky messaging channels, agent misbehaviour
Talk to clients, understand what they need, and translate that into working automation

What will help you succeed
Comfort in a terminal — SSH, config files, logs, basic server admin
Some experience with any programming language — enough to read code, write scripts, and hit APIs
Basic understanding of networking — ports, firewalls, DNS
Familiarity with Docker
Clear communication — you'll explain technical things to non-technical people regularly
A bias toward figuring things out over waiting to be taught

Bonus points
You've played with OpenClaw, MCP, or any AI agent framework
You've deployed something to a VPS or cloud instance before
You know your way around monitoring tools (Langfuse, Grafana, etc.)
You have opinions about LLMs, tokens, and model routing
You've built a bot, a home server, a Raspberry Pi project, or anything that proves you like tinkering

You don't need to tick every box. If you're curious, resourceful, and excited about AI agents — we'd rather hear from you than not.

Why join us
You'll get production experience with AI agents that most people only read about. You'll work directly with two founders — one from Atlassian engineering, one from enterprise strategy — who'll give you real responsibility from day one, not busywork. And you'll be joining at the ground floor of a company in one of the fastest-moving spaces in tech.

To apply
Send an email to join@zerotoclaw.ai with a short note about why this interests you, your resume/LinkedIn, and ideally one example of something technical you've built or deployed (a side project, a home server, a bot, anything that shows you can ship).

Experience required 6 > Current Experience 5. Skipping this job!
",Skipped,Not Available
4393094573,https://www.linkedin.com/jobs/view/4393094573,Pending,2026-04-02 12:20:03.373388,2026-04-04 12:20:03.435388,Found a Bad Word in About Job,"
About the job
Design, build and improve web applications that matter.

Join ACER’s Software Development team as a Front‑End Developer on a 6‑month fixed‑term, full‑time contract, collaborating on digital solutions that support education and research on a global scale.

This role is aligned to a time‑sensitive project for a prominent Australian client, offering an exciting opportunity to contribute to innovative, high‑impact interactive assessment solutions.

ABOUT ACER
The Australian Council for Educational Research (ACER) is an international, independent, not‑for‑profit organisation committed to improving learning through world‑class research, assessments and digital innovation. With around 400 staff across Australia, India, Malaysia, the UAE and the UK, ACER delivers impactful educational solutions worldwide.
Our Software Development team, within the Information Technology Division, works collaboratively across ACER to design, build and maintain high‑quality digital products that enable meaningful research and assessment programs.

ABOUT THE ROLE
We are looking for a mid‑level Front‑End Developer with strong JavaScript skills to support a critical project delivering interactive assessments.

In this role, you will:
Build interactive assessment modules based on established designs
Contribute to solution design, development and quality assurance
Take ownership of code quality, accessibility, security and maintainability
Troubleshoot and resolve issues as they arise

You’ll work closely with the Lead Software Engineer, Assessment Developers, UX Designers and Software Testers as part of a supportive, collaborative team.

WHAT YOU'LL BRING

Essential experience and skills:
3+ years’ commercial experience in JavaScript front‑end/web development
Strong object‑oriented design and development skills
Experience developing high‑quality, interactive web interfaces
Experience with PHP and/or Java in a commercial environment
Solid database design and SQL knowledge
Understanding of modern software development lifecycles and practices
Ability to deliver to project timelines in a self‑managed way
Clear communication skills and strong attention to detail

Qualifications:
Bachelor’s degree in Computer Science (or equivalent experience)

ABOUT YOU
You’re a capable and adaptable developer who enjoys working in a fixed‑term, project‑based role. You take pride in quality work, communicate clearly, and value collaboration within a technical team.

WHY JOIN ACER?
Purpose‑driven organisation with global impact
Inclusive, collaborative and values‑led culture
Opportunity to contribute to meaningful digital initiatives over a defined period

HOW TO APPLY
Be part of software development that supports better learning outcomes worldwide.
👉 Apply via LinkedIn or view the full position description at:
https://www.acer.org/au/about-us/careers

Applications close: Thursday, 16 April 2026 at midnight (AEST)

ACER is an equal opportunity employer committed to diversity, inclusion and accessibility. Aboriginal and/or Torres Strait Islander people are encouraged to apply. Adjustments can be requested at any stage of the recruitment process by contacting p&c@acer.org.

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4397429040,https://www.linkedin.com/jobs/view/4397429040,Previous resume,2026-04-04 10:20:38.437928,2026-04-04 12:21:04.149921,Problem in Easy Applying,Application was not confirmed as submitted,Easy Applied,Not Available
4330133973,https://www.linkedin.com/jobs/view/4330133973,Pending,2026-04-03 12:21:12.825918,2026-04-04 12:21:12.890918,Found a Bad Word in About Job,"
About the job
About Netwealth

Netwealth isn't just a company. We're shaping the future of wealth in Australia. Our award-winning platform and NextGen technology empower advisers and investors to achieve more, and we're proud to be recognised as one of Australia's most innovative FinTech businesses.

Since 1999, we've grown rapidly by challenging the status quo. We move fast, think big, and stay agile. Free from unnecessary bureaucracy so we can deliver smarter solutions for our clients and create real impact.

But what truly sets us apart? Our people. We're a team of curious, optimistic and courageous individuals who collaborate to make life better for more Australians. We value authenticity, and agility, and we believe in creating an environment where you can do your best work, grow your career, and feel part of something meaningful.

If you're looking for a place where your ideas matter, where innovation is celebrated, and where you can help shape a brighter financial future, join us at Netwealth.

The opportunity

Where curiosity meets impact

We’re on the lookout for thoughtful, collaborative Full Stack Developers to join one of our vibrant product tribes. If you’re someone who loves solving meaningful problems, building scalable solutions, and working with people who genuinely care about what they do, you might feel right at home here.

What You’ll Be Working On

We’re lucky to be part of a progressive, modern fintech that genuinely invests in tools that lift productivity, reduce friction, and help great engineers do great work.

You’ll be part of a cross-functional team that’s building a key part of our web platform, something that connects multiple data sources and powers the features our customers rely on every day. It’s a space where your work will be seen, used, and appreciated.

You’ll collaborate closely with Developers, Product Owners, and Quality Engineers to design and build backend services and client-side components using C#.NET, Microservices, Angular and Azure. You’ll also work with stakeholders across the business to understand their needs and translate them into elegant, reliable solutions.

What It’s Like To Work Here

We’re a team that values curiosity, agility, and kindness. We support each other, celebrate wins (big and small), and genuinely enjoy the work we do. You’ll be encouraged to bring your ideas, challenge the status quo, and grow your skills in a space where your voice matters.

We know that great ideas come from diverse perspectives, and we’re committed to creating an environment where everyone feels they belong.

About you: 

Writes clean, maintainable code and enjoys solving complex problems with simple solutions
Communicates clearly and collaborates to share expertise
Thrives in a quality-focused environment where your work makes a real impact
Experience building server and client-side applications using C#.NET
Familiarity with MS SQL Server and NoSQL databases
Hands-on experience with Azure and cloud-based technologies
Knowledge, skills and motivations of Angular and/or React

If you don’t tick every box but feel excited about the role, we’d still love to hear from you. We believe great developers come from all walks of life, and we’re here to support your growth.

Life At Netwealth

At Netwealth, we believe a fulfilling career is built on growth, balance, and belonging. Our people are our greatest strength, and we’re committed to supporting you at every stage of life because when you thrive, so do we.

We're proud to be recognised as one of Australia's top 5 companies for Career Development (endorsed by WORK180). From further education and diverse training opportunities to strong support for internal mobility. Your career can grow here.

Our flexible hybrid model supports balance, with just 4 days in the office each fortnight. When you’re in, you’ll enjoy working from one of our modern, thoughtfully designed spaces across Australia – including our state-of-the-art Melbourne CBD office. All locations feature contemporary facilities to make your day comfortable, and in Melbourne, you’ll also enjoy perks like end-of-trip amenities and daily breakfast to make your commute easier.

We offer benefits designed for your wellbeing and personal development, including;

Family-friendly support: Paid parental leave and a fully funded school holiday program
Wellness perks: CU Health (virtual healthcare), income protection, flu shots, wellness weeks, retail discounts and financial wellbeing services
A vibrant culture: social events, trivia nights, and corporate sports
Employee Resource Groups: LGBTQIA+, DAWN (Development and Accelerating Women at Netwealth), Culture Group and Carers Group
Community Impact: Paid volunteering and our Netwealth Impact Group

We're proud of our inclusive and diverse workforce and encourage everyone to bring their genuine selves to work. It's one of our core values. We're committed to equity and inclusion through our gender equality, disability, LGBTQIA+, wellbeing and cultural initiatives. And we're certified by WORK180, Family Friendly Workplaces and Great Places to Work.

If you're excited by the opportunity but don't meet every requirements, we still encourage you to apply. Research shows people often hesitate unless they tick every box. We value potential and passion just as much.

Need adjustments during the recruitment process? Contact us at people@netwealth.com.au

Apply now and help us shape a brighter financial future!

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4385010312,https://www.linkedin.com/jobs/view/4385010312,Pending,2026-03-21 12:21:24.592435,2026-04-04 12:21:24.662435,Asking for Security clearance,"
About the job
At BAE Systems Australia 

Do interesting work that MATTERS
ENJOY what you do
GROW your career
Be YOU

We work in a thriving sector – one that puts us at the forefront of exciting and meaningful work. Every day we push boundaries to produce some of the world’s most innovative and groundbreaking technology. Individually we all contribute to our success. Collectively we make the impossible possible.

Recognised for delivering projects of global and national significance that help keep Australia safe, it is our shared passion that shapes our culture, and our people that make it a great place to work.

About The OPPORTUNITY

We have a great opportunity for multiple Software Engineers to join our Strategic Surveillance Program based at Adelaide – South Australia or Melbourne Central – Victoria, reporting to the Senior Software Engineer.

We embrace flexible work arrangements at BAE Systems Australia, such as working a 9-day fortnight and or hybrid working.

You will bring with you demonstrated previous skills and experience in the development of specialised software systems. Within our HF Export programs, you’ll work on areas such as UX development, SW design and architecture, and signal processing. We have a growing team with the opportunity to constantly learn and carve out your niche in an area that interests you. You’ll have interactions with many other teams and stakeholders, as well as engineers in other disciplines, and have opportunities to travel internationally. We’re a strong team that takes pride in what we do and how we work together, with a lot to offer a software engineer looking to expand their skillset.

Key responsibilities include

Conduct software engineering in accordance with the Software Development Plan
Writing high quality, maintainable software including generation of design and test documentation
Active participation in all Scrum ceremonies each sprint, including planning, stand-ups, reviews, and retrospectives, contributing to continuous improvement and team collaboration.

About YOU

Strong understanding of the Software Development lifecycle
Knowledge/experience in one or more of the following technologies:
Strong working knowledge of C/C++ Programming language (preferably on Linux)
Full Stack development with strong front-end and back-end development skills (HTML, CSS, JavaScript, React, or similar modern frameworks).
Experience with RESTful APIs, authentication, and third-party integrations.
Experience with a variety of communications libraries, e.g. Apache Kafka and DDS, in environments with very high data throughput
Expertise in Containers, Kubernetes
Strong working knowledge of programming on a Linux framework
Development experience with the Qt framework is desirable
Experience as part of an agile/scrum team
Familiarity with Configuration and Change Management principles and tools, such as Git
Strong analytical and troubleshooting skills
Defence security clearance or eligibility to obtain a NV1 clearance
Eligibility to be cleared for International Traffic In Arms (ITAR) regulations
We believe in hiring for potential, we know that some candidates hesitate if they don’t tick all the boxes. If this role interests you, but you don’t meet all the criteria, we still encourage you to apply.

About US

You will be joining a workplace that truly cares about your wellbeing.

Our people are diverse and we value the variety of perspectives this brings, we know that a culture that is inclusive and fosters a sense of belonging is a place we can all make the most of our unique talents and be our best.

As Australia’s largest defence company in a rapidly growing sector, you will be connected into a global team and encouraged to explore where your career might take you whether that is a traditional career path or squiggly one, there are infinite possibilities for you at BAE Systems Australia.

BAE Systems recognises the sacrifices of those who have served our Nation and their families. We support our veteran community through our internal veteran network (VetNet Australia) and strong charitable partnerships, internal offerings including reserve service leave, a Veteran Mentoring Program and other exclusive offerings available through our strategic partners.

We welcome applicants from all people regardless of sex, gender identity, race, ethnicity, disability, pregnancy, age, or other lived experience; and strongly encourage applications from Aboriginal and Torres Strait Islander people for all positions.

We are proud to be recognised as an employer of choice for women by WORK180.

Awarded the 2024 Quarter 1 Benchmarcx Triple R- Excellence In Candidate Experience Certification. As a member of the Circle Back Initiative we commit to respond to every applicant.

To learn more about our competitive employee benefits, flexibility, other employment opportunities and what to expect from our recruitment process please visit: www.baesystemscareers.com.au

Clearances 

As a Defence security clearance is required for this role, applicants must be Australian citizens and either possess or be eligible to obtain and maintain appropriate clearances. Further information regarding security clearances.

International Traffic In Arms Regulations (ITAR) are applicable and as such, your nationality may be a factor in determining your suitability for this role. Please visit this webpage for more information.

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
4392901645,https://www.linkedin.com/jobs/view/4392901645,Previous resume,2026-03-31 12:21:57.646676,2026-04-04 12:22:03.303098,Problem in Easy Applying,Easy Apply modal did not open,Easy Applied,Not Available
4373898744,https://www.linkedin.com/jobs/view/4373898744,Pending,2026-02-03 12:22:13.204843,2026-04-04 12:22:13.274349,Asking for Security clearance,"
About the job
Join Centorrino Technologies: Innovate, Grow, and Thrive with Us!

At Centorrino Technologies (CT), we're more than just tech—we're a community that goes beyond expectations. We've been recognised as a Great Place to Work in 2024-2025 and one of the Best Places to Work Medium & Large Size in Australia for 2025, with an outstanding eNPS score of 68. And we're not stopping there. We're on a mission to redefine the customer experience,and we need a passionate Security Engineer to join our Cyber Security team in Australia.

The Security Engineer will be responsible for ensuring the security of the organisation's information systems and data within the projects space. This role involves implementing security measures to protect against potential threats. The Security Engineer will work to integrate security into all phases of project development and execution.

Requirements

What you'll do:

Develop and implement security policies and procedures for project environments, ensuring alignment with industry standards and government guidelines (PSPF, ISM)
Monitor, assess, and manage vulnerabilities in systems and applications, and configure security tools like firewalls, IDS, and anti-malware software in collaboration with IT
Create and maintain documentation for security protocols, incident response plans, and guidelines to ensure consistency and compliance across projects
Stay current with cybersecurity trends and deliver security awareness training to foster a proactive security culture among stakeholders and partners
Lead incident response efforts, including containment, eradication, recovery, and communication of risks and solutions to improve security practices
Conduct comprehensive cyber risk assessments of systems and technologies to ensure compliance with government policies and enhance overall security posture
Continuously improve cybersecurity services by implementing new strategies, tools, and best practices to stay ahead of emerging threats
Manage and maintain agreed service levels, ensuring that cyber security operations align with organisational goals

What you'll bring:

Bachelor's degree in Computer Science, Information Technology, or a related field
Must hold an active NV1 Security Clearance
Experience in a similar client-facing role, preferably in a Managed Services environment within a project-based role
Strong knowledge of security technologies and best practices
Excellent analytical, communication and interpersonal skills
Knowledge of regulatory requirements and standards such as Essential Eight, ISO 27001, and NIST
Proficient in Linux and Windows server administration
Experience with virtualization technologies (e.g., VMware, Hyper-V). 
Strong scripting skills (e.g., PowerShell, Bash) for automation and task execution. 
Broad range of systems, network, cloud, Microsoft, and security products
Knowledge of Azure Networking
Experience with Aruba, FortiNet, and Juniper hardware

Benefits

Why You'll Love Working Here:

Our company is more than just a workplace, it's a hub of inspiration and creativity where employees love to work! Here's why:

Hybrid working with team anchor days to support collaboration
Extensive training and development opportunities that enable continual growth as part of your career planning
Extensive discounts and benefits to maximise your money
A choice of your IT equipment to maximise your success and access to cost-price tech for your personal needs
Fun team events to celebrate achievements and connect with colleagues outside work as part of our engaging culture

CT celebrates diversity and enables every voice to be heard as we drive to create the world we want. Apply today and be part of a team that values innovation, inclusivity, variety and diverse backgrounds.

Note: A valid Vulnerable People / Working with Children Check (WWCC) and Police Check are required.

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
